entity,cidr
eu-west-3,35.180.0.0/16
us-west-2,52.94.76.0/22
ap-southeast-2,52.95.36.0/22
GLOBAL,120.52.22.96/27
eu-west-1,150.222.81.0/24
us-east-2,15.230.39.60/31
ap-southeast-1,150.222.78.0/24
us-east-2,15.230.39.208/31
eu-west-1,52.93.17.0/24
eu-west-2,52.95.150.0/24
ap-northeast-2,52.219.60.0/23
ap-east-1,13.248.56.0/22
ap-south-1,13.248.117.0/24
eu-central-1,52.93.126.135/32
eu-west-1,52.94.24.0/23
us-west-1,150.222.199.0/25
us-east-2,15.230.39.44/31
us-east-1,52.4.0.0/14
ap-northeast-2,52.144.227.192/26
ap-northeast-1,52.144.229.64/26
sa-east-1,64.252.81.0/24
us-east-1,50.16.0.0/15
us-east-1,52.95.208.0/22
eu-south-1,52.95.224.0/24
ap-south-1,150.222.84.0/24
af-south-1,150.222.208.82/31
GLOBAL,205.251.249.0/24
ap-southeast-2,15.193.3.0/24
us-east-1,52.94.244.0/22
us-gov-west-1,52.119.208.0/23
eu-south-1,54.240.236.26/32
sa-east-1,150.222.228.0/24
us-east-2,15.230.39.10/31
cn-northwest-1,52.82.169.16/28
us-west-1,52.93.34.56/32
sa-east-1,52.94.198.16/28
ap-northeast-1,52.144.225.128/26
us-east-1,64.252.69.0/24
ap-southeast-2,13.236.0.0/14
eu-north-1,52.46.220.0/22
us-west-2,52.92.32.0/22
eu-west-2,52.93.56.0/24
us-east-1,52.95.41.0/24
us-gov-west-1,52.95.100.0/22
ap-east-1,52.95.226.0/24
af-south-1,99.78.152.0/22
ap-east-1,150.222.135.0/24
eu-west-1,150.222.202.0/24
us-east-1,176.32.125.244/31
ap-southeast-2,15.177.83.0/24
me-south-1,15.185.0.0/16
us-east-2,15.230.39.28/31
ap-east-1,52.93.35.212/32
eu-west-1,52.94.26.0/23
eu-south-1,54.240.236.54/32
eu-west-1,54.247.0.0/16
ap-northeast-1,54.248.0.0/15
us-east-2,15.230.39.196/31
us-west-2,52.119.252.0/22
us-west-2,54.148.0.0/15
us-west-2,99.77.130.0/24
GLOBAL,180.163.57.128/26
eu-west-1,18.200.0.0/16
ap-southeast-2,54.206.0.0/16
eu-south-1,54.240.236.69/32
us-gov-west-1,108.175.56.0/22
eu-west-1,150.222.96.0/24
eu-south-1,150.222.243.19/32
us-east-1,13.248.124.0/24
ap-southeast-1,15.193.2.0/24
us-west-1,99.77.132.0/24
us-east-1,18.232.0.0/14
cn-northwest-1,52.82.169.0/28
eu-west-1,52.93.112.0/24
us-east-2,54.239.0.224/28
us-west-2,54.239.48.0/22
eu-west-1,13.248.119.0/24
us-east-2,15.230.39.254/31
eu-west-1,52.93.81.0/24
eu-west-1,54.74.0.0/15
ap-east-1,150.222.114.0/24
eu-west-3,150.222.242.214/31
us-east-2,15.230.39.206/31
us-east-2,15.230.39.244/31
cn-northwest-1,52.83.0.0/16
us-west-2,52.93.14.18/32
ap-northeast-2,52.94.6.0/24
us-west-2,52.144.197.192/26
us-east-1,150.222.2.0/24
eu-south-1,150.222.240.245/32
eu-west-3,52.47.0.0/16
eu-west-1,52.93.16.0/24
ap-east-1,52.94.249.144/28
sa-east-1,52.95.136.0/23
eu-west-1,52.95.255.64/28
ca-central-1,52.144.199.128/26
ap-northeast-1,52.144.225.64/26
ap-southeast-1,52.219.48.0/22
eu-south-1,54.240.236.22/32
GLOBAL,204.246.168.0/22
ap-northeast-3,13.208.0.0/16
us-west-2,15.193.7.0/24
us-east-2,15.230.39.108/31
eu-west-1,52.93.96.0/24
us-east-1,54.156.0.0/14
us-east-1,54.236.0.0/15
ap-southeast-1,15.230.29.0/24
us-east-2,15.230.39.14/31
us-east-2,18.191.0.0/16
eu-west-1,52.144.210.0/26
eu-south-1,99.77.159.0/24
ap-southeast-1,15.177.82.0/24
eu-west-2,52.144.211.196/31
eu-central-1,52.219.72.0/22
ap-southeast-2,54.153.128.0/17
cn-north-1,54.222.58.0/28
ap-southeast-1,122.248.192.0/18
ap-southeast-2,150.222.119.0/24
us-east-2,15.230.39.34/31
eu-central-1,18.192.0.0/15
ap-northeast-1,52.92.60.0/22
eu-central-1,52.93.126.132/32
eu-south-1,52.93.133.177/32
eu-north-1,52.144.215.192/31
ap-northeast-1,52.219.68.0/22
eu-west-1,54.229.0.0/16
eu-north-1,54.239.1.96/28
eu-north-1,13.248.100.0/24
ca-central-1,52.93.5.0/24
